,confidence,difficulty,puA,puB,puC,puD
0,pas d’accord,neutre,non,non,non,non
1,neutre,plutôt d’accord,non,non,non,non
2,neutre,neutre,non,non,non,non
3,neutre,neutre,non,non,non,non
4,plutôt d’accord,neutre,non,non,non,non
5,neutre,pas d’accord,non,non,non,non
6,neutre,neutre,non,non,non,non
7,neutre,neutre,non,non,non,non
8,neutre,neutre,non,non,non,non
9,plutôt d’accord,d’accord,non,non,non,non
10,pas d’accord,neutre,non,non,non,non
11,neutre,neutre,non,non,non,non
12,neutre,neutre,non,non,non,non
13,neutre,neutre,non,non,non,non
14,neutre,neutre,non,non,non,non
15,neutre,neutre,0,0,0,0
16,neutre,neutre,0,0,0,0
17,neutre,neutre,0,0,0,0
18,neutre,neutre,0,0,0,0
19,neutre,neutre,0,0,0,0
20,pas d’accord,pas d’accord,non,non,non,non
21,neutre,neutre,non,non,non,non
22,neutre,neutre,non,non,non,non
23,neutre,neutre,non,non,non,non
24,neutre,neutre,non,non,non,non
25,neutre,neutre,0,0,0,0
26,neutre,neutre,0,0,0,0
27,neutre,neutre,0,0,0,0
28,neutre,neutre,0,0,0,0
29,neutre,neutre,0,0,0,0
30,neutre,neutre,0,0,0,0
31,neutre,neutre,0,0,0,0
32,neutre,neutre,0,0,0,0
33,neutre,neutre,0,0,0,0
34,neutre,neutre,0,0,0,0
35,neutre,neutre,non,non,non,non
36,neutre,neutre,non,non,non,non
37,neutre,neutre,non,non,non,non
38,neutre,neutre,non,non,non,non
39,neutre,neutre,non,non,non,non
40,neutre,neutre,non,non,non,non
41,neutre,neutre,non,non,non,non
42,neutre,neutre,non,non,non,non
43,neutre,neutre,non,non,non,non
44,neutre,neutre,oui,non,non,non
45,neutre,neutre,0,0,0,0
46,Pas du tout d’accord,neutre,0,0,0,0
47,d’accord,neutre,oui,non,non,non
48,neutre,neutre,non,non,non,non
