rep,time_print,time_click
lՎquipe bleue va vraisemblablement gagner,1693042080.43943,1693042083.6864593
lՎquipe bleue va vraisemblablement gagner,1693042085.6496477,1693042088.558939
lՎquipe bleue va vraisemblablement gagner,1693042090.3045268,1693042092.8505862
lՎquipe bleue va vraisemblablement gagner,1693042094.4865894,1693042096.81684
lՎquipe bleue va vraisemblablement gagner,1693042098.677761,1693042101.0123217
lՎquipe bleue va vraisemblablement gagner,1693042103.064767,1693042105.568405
lՎquipe bleue va vraisemblablement gagner,1693042108.0008786,1693042111.778684
lՎquipe bleue va vraisemblablement gagner,1693042114.1206844,1693042117.0700798
lՎquipe bleue va vraisemblablement gagner,1693042120.1412127,1693042122.861351
lՎquipe bleue va vraisemblablement gagner,1693042124.8244362,1693042129.7102828
lՎquipe bleue va vraisemblablement gagner,1693042133.4509845,1693042136.220309
lՎquipe bleue va vraisemblablement gagner,1693042138.0910423,1693042140.843376
lՎquipe bleue va vraisemblablement gagner,1693042143.0766284,1693042145.7056227
lՎquipe bleue va vraisemblablement gagner,1693042147.5934412,1693042150.6156354
lՎquipe bleue va vraisemblablement gagner,1693042152.2984626,1693042154.879598
lՎquipe bleue va vraisemblablement gagner,1693042157.105849,1693042159.5333374
lՎquipe bleue va vraisemblablement gagner,1693042161.578371,1693042163.8899906
lՎquipe bleue va vraisemblablement gagner,1693042165.808428,1693042168.1525176
lՎquipe bleue va vraisemblablement gagner,1693042169.791956,1693042171.8752234
lՎquipe bleue va vraisemblablement gagner,1693042173.3523643,1693042175.6214774
lՎquipe bleue va vraisemblablement gagner,1693042188.07855,1693042190.586734
lՎquipe bleue va vraisemblablement gagner,1693042192.2857995,1693042194.7566676
lՎquipe bleue va vraisemblablement gagner,1693042198.251937,1693042201.483194
lՎquipe bleue va vraisemblablement gagner,1693042205.5173306,1693042208.4114308
