rep,time_print,time_click
lՎquipe bleue va vraisemblablement gagner,1694338776.49759,1694338815.133374
lՎquipe bleue va vraisemblablement gagner,1694338826.074694,1694338837.193197
lՎquipe rouge va vraisemblablement gagner,1694338845.615166,1694338853.206263
lՎquipe bleue va vraisemblablement gagner,1694338861.448765,1694338890.3422809
lՎquipe rouge va vraisemblablement gagner,1694338896.212685,1694338909.558212
lՎquipe bleue va vraisemblablement gagner,1694338945.509137,1694338953.351678
lՎquipe rouge va vraisemblablement gagner,1694338960.710231,1694338969.228336
lՎquipe rouge va vraisemblablement gagner,1694338977.019829,1694338986.001765
lՎquipe bleue va vraisemblablement gagner,1694338996.6029649,1694339006.2967439
lՎquipe rouge va vraisemblablement gagner,1694339017.181241,1694339030.288074
lՎquipe rouge va vraisemblablement gagner,1694339084.286039,1694339091.608341
lՎquipe bleue va vraisemblablement gagner,1694339096.947952,1694339105.1916952
lՎquipe rouge va vraisemblablement gagner,1694339110.5926888,1694339117.553183
lՎquipe bleue va vraisemblablement gagner,1694339121.5396821,1694339128.2780979
lՎquipe rouge va vraisemblablement gagner,1694339134.1650171,1694339142.4573572
lՎquipe bleue va vraisemblablement gagner,1694339172.698283,1694339179.048298
lՎquipe rouge va vraisemblablement gagner,1694339183.3314,1694339191.310633
lՎquipe rouge va vraisemblablement gagner,1694339198.411935,1694339209.269811
lՎquipe rouge va vraisemblablement gagner,1694339229.441181,1694339234.9907808
lՎquipe rouge va vraisemblablement gagner,1694339238.0102808,1694339246.401841
lՎquipe bleue va vraisemblablement gagner,1694339270.414593,1694339283.1959832
lՎquipe bleue va vraisemblablement gagner,1694339303.730005,1694339314.1847339
lՎquipe bleue va vraisemblablement gagner,1694339318.8938398,1694339325.796705
lՎquipe rouge va vraisemblablement gagner,1694339330.654701,1694339341.9743218
lՎquipe bleue va vraisemblablement gagner,1694339376.913418,1694339399.354112
